molregno,doc_id,canonical_smiles,compound_name,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,acd_most_bpka,acd_logp,acd_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,num_alerts,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,max_phase,therapeutic_flag,structure_type,molecule_type,first_approval,natural_product,availability_type,withdrawn_flag,rn
1073669,-1,CO[C@H]1[C@@H](C[C@H](O)CN)O[C@H]2C[C@H]3O[C@@H](CC[C@@H]4O[C@@H](CC[C@@]56C[C@H]7O[C@@H]8[C@@H](O[C@H]9CC[C@H](CC(=O)C[C@H]12)O[C@@H]9[C@@H]8O5)[C@H]7O6)CC4=C)C[C@@H](C)C3=C.CS(=O)(=O)O,Eribulin Mesylate,729.9,0.97,12,2,146.39,4,N,2,8.83,3.61,1.61,BASE,826,0,52,1,0.4,729.4088,C41H63NO14S,12,3,1,4,1,MOL,Small molecule,2010,1,1,0,1
1123018,100208,[Ca+2].CC(C)c1nc(nc(c1\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c2ccc(F)cc2)N(C)S(=O)(=O)C.CC(C)c3nc(nc(c3\C=C\[C@@H](O)C[C@@H](O)CC(=O)[O-])c4ccc(F)cc4)N(C)S(=O)(=O)C,ROSUVASTATIN CALCIUM,481.54,2.43,8,3,149.29,10,N,0,,0.89,-2.24,ACID,1001.14,2,33,0,0.47,481.1683,C44H54CaF2N6O12S2,9,3,0,4,1,MOL,Small molecule,2003,0,1,0,1
1214046,84147,Nc1ncnc2c1c(nn2[C@@H]3CCCN(C3)C(=O)C=C)c4ccc(Oc5ccccc5)cc4,,440.5,3.99,6,1,99.16,5,N,0,4.09,4.47,4.47,NEUTRAL,440.5,4,33,1,0.47,440.1961,C25H24N6O2,8,2,0,4,1,MOL,Small molecule,2013,0,1,0,1
14125,100208,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(=O)O,DINOPROSTONE,352.47,3.2,5,3,94.83,12,N,0,,2.97,0.36,ACID,352.47,0,25,2,0.37,352.225,C20H32O5,5,3,0,4,1,MOL,Small molecule,1977,1,1,0,1
155045,59306,Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1,Amoxapine,313.78,2.9,4,1,36.86,1,N,0,8.62,2.93,1.79,BASE,313.78,2,22,0,0.88,313.0982,C17H16ClN3O,4,1,0,4,1,MOL,Small molecule,1980,0,1,0,1
16506,-1,OC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,Oxazepam,286.71,2.84,3,2,61.69,1,N,0,1.17,2.22,2.22,NEUTRAL,286.71,2,20,0,0.85,286.0509,C15H11ClN2O2,4,2,0,4,1,MOL,Small molecule,1965,0,1,0,1
188815,100207,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23,ARGATROBAN,508.63,1.27,7,6,186.09,10,N,2,13.52,0.16,-2.34,BASE,508.63,1,35,3,0.16,508.2468,C23H36N6O5S,11,7,2,4,1,MOL,Small molecule,2000,0,1,0,1
21459,59306,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36O,Naltrexone,341.4,1.66,5,2,70,2,N,0,7.5,2.05,1.6,NEUTRAL,341.4,1,25,0,0.86,341.1627,C20H23NO4,5,2,0,4,1,MOL,Small molecule,1984,1,1,0,1
236376,-1,CCN\C(=N/CC)\NCCCC[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc2cccnc2)NC(=O)[C@@H](Cc3ccc(Cl)cc3)NC(=O)[C@@H](Cc4ccc5ccccc5c4)NC(=O)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN\C(=N\CC)\NCC)C(=O)N6CCC[C@H]6C(=O)N[C@H](C)C(=O)N,Ganirelix Acetate,1570.32,,,,,,,,,,,,1570.32,,,,,1568.8423,C80H113ClN18O13,,,,4,1,BOTH,Protein,1999,0,1,0,1
259959,59306,CC(C)N1CCN(CC1)c2ccc(OC[C@H]3CO[C@@](Cn4cncn4)(O3)c5ccc(Cl)cc5Cl)cc2,Terconazole,532.46,4.95,7,0,64.88,8,N,1,8.33,4.19,3.57,NEUTRAL,532.46,3,36,0,0.41,531.1804,C26H31Cl2N5O3,8,0,0,4,1,MOL,Small molecule,1987,0,1,0,1
27648,75454,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12,ALPRAZOLAM,308.76,3.51,3,0,43.07,1,N,0,2.37,1.92,1.92,NEUTRAL,308.76,3,22,0,0.69,308.0829,C17H13ClN4,4,0,0,4,1,MOL,Small molecule,1981,0,1,0,1
