molregno,doc_id,company,country,dosage_form,route,trade_name,approval_date,ad_type,oral,topical,parenteral,rn
1078532,100207,Dong A,Korea,FOR SOLUTION,ORAL,PREPOPIK,2012-07-16,RX,1,0,0,1
11674,16081,Pfizer,USA,TABLET,ORAL,ADVIL ALLERGY SINUS,2002-12-19,OTC,1,0,0,1
122901,100208,AstraZeneca,UK,CAPSULE,ORAL,ZAVESCA,2003-07-31,RX,1,0,0,1
1351456,-1,SanofiAventis,France,SOLUTION/DROPS,OPHTHALMIC,XIIDRA,2016-07-11,RX,0,1,0,1
1355857,-1,Dompe Farmaceutici,italy,TABLET,ORAL,"ACETAMINOPHEN, CAFFEINE AND DIHYDROCODEINE BITARTRATE",2016-09-30,RX,1,0,0,1
1369660,-1,SanofiAventis,France,INJECTABLE,INJECTION,TESLASCAN,1997-11-26,DISCN,0,0,1,1
1378013,-1,Boehringer-Ingelheim,Germany,"SPRAY, METERED",INHALATION,STIOLTO RESPIMAT,2015-05-21,RX,0,1,0,1
1380067,92025,Pfizer,USA,TABLET,ORAL-21,CRYSELLE,2001-11-30,RX,1,0,0,1
1449219,-1,Poli Group,Italy,SOLUTION,INTRAVENOUS,DOTAREM,2013-03-20,RX,0,0,1,1
1535336,-1,Pfizer,USA,TABLET,ORAL,PROKETAZINE,1982-01-01,DISCN,1,0,0,1
1543375,100208,SanofiAventis,France,TABLET,ORAL,ANZEMET,1997-09-11,RX,1,0,0,1
1548671,-1,Gilead Sciences,USA,TABLET,ORAL,HARVONI,2014-10-10,RX,1,0,0,1
1592384,100207,Panacos,USA,"TABLET, CHEWABLE",ORAL,VELPHORO,2013-11-27,RX,1,0,0,1
17347,2946,Vertex,USA,CAPSULE,ORAL,AGENERASE,1999-04-15,DISCN,1,0,0,1
17411,59268,Sanwa,Japan,CAPSULE,ORAL,DYAZIDE,1994-03-03,RX,1,0,0,1
1763559,-1,Keryx Biopharmaceuticals,USA,TABLET,ORAL,AURYXIA,2014-09-05,RX,1,0,0,1
1927281,-1,Takeda,Japan,CAPSULE,ORAL,NINLARO,2015-11-20,RX,1,0,0,1
22391,100207,Scotia Pharmaceuticals,UK,"TABLET, DELAYED RELEASE",ORAL,ARTHROTEC,1997-12-24,RX,1,0,0,1
236376,-1,Roche,Switzerland,INJECTABLE,INJECTION,GANIRELIX ACETATE,1999-07-29,RX,0,0,1,1
248669,57633,Antigenics,USA,TABLET,ORAL,REPAGLINIDE,2014-01-22,RX,1,0,0,1
267825,56111,Roche,Switzerland,TABLET,ORAL,TOLCAPONE,2015-03-26,RX,1,0,0,1
27307,57514,GlaxoSmithKline,UK,TABLET,ORAL,ZIDOVUDINE,2009-07-23,DISCN,1,0,0,1
317124,61985,Cephalon,USA,TABLET,ORAL,MODAFINIL,2014-02-03,RX,1,0,0,1
33679,59306,Merck,USA,TABLET,ORAL,FINASTERIDE,2013-11-05,RX,1,0,0,1
341382,84147,CV Therapeutics,USA,"TABLET, EXTENDED RELEASE",ORAL,RANEXA,2007-02-12,RX,1,0,0,1
341603,-1,Roche,Switzerland,CAPSULE,ORAL,AKYNZEO,2014-10-10,RX,1,0,0,1
361469,59352,Bristol-Myers Squibb,USA,TABLET,ORAL,DASATINIB,2016-06-10,RX,1,0,0,1
36662,75454,BioMarin Pharmaceuticals,USA,TABLET,ORAL,CARVEDILOL,2007-09-05,RX,1,0,0,1
372438,53329,Pfizer,USA,CAPSULE,ORAL,APTIVUS,2005-06-22,RX,1,0,0,1
390877,59021,Bristol-Myers Squibb,USA,"TABLET, FOR SUSPENSION",ORAL,DIDANOSINE,2012-08-14,RX,1,0,0,1
